STUDY	BIOENTITY	PROPERTY_TYPE	PROPERTY_VALUE	SEMANTIC_TAG	ANNOTATOR	ANNOTATION_DATE
IHCC Simple String	http://purl.obolibrary.org/obo/MONDO_0029000	information_entity	poisoning	http://purl.obolibrary.org/obo/MONDO_0029000	Knocean	2020-12-10 07:52:39
IHCC Simple String	http://purl.obolibrary.org/obo/MONDO_0029000	information_entity	poisoning syndrome	http://purl.obolibrary.org/obo/MONDO_0029000	Knocean	2020-12-10 07:52:39
IHCC Simple String	http://purl.obolibrary.org/obo/MONDO_0029000	information_entity	intoxication	http://purl.obolibrary.org/obo/MONDO_0029000	Knocean	2020-12-10 07:52:39
IHCC Simple String	http://purl.obolibrary.org/obo/MONDO_0029000	information_entity	Poisonings	http://purl.obolibrary.org/obo/MONDO_0029000	Knocean	2020-12-10 07:52:39
IHCC Simple String	http://purl.obolibrary.org/obo/GECKO_0000071	information_entity	sleep history	http://purl.obolibrary.org/obo/GECKO_0000071	Knocean	2020-12-10 07:52:39
IHCC Simple String	http://purl.obolibrary.org/obo/GECKO_0000094	information_entity	associated disease(s)	http://purl.obolibrary.org/obo/GECKO_0000094	Knocean	2020-12-10 07:52:39
IHCC Simple String	http://purl.obolibrary.org/obo/GECKO_0000094	information_entity	associated disease s 	http://purl.obolibrary.org/obo/GECKO_0000094	Knocean	2020-12-10 07:52:39
IHCC Simple String	http://purl.obolibrary.org/obo/GECKO_0000094	information_entity	disease treated by prescription drug	http://purl.obolibrary.org/obo/GECKO_0000094	Knocean	2020-12-10 07:52:39
IHCC Simple String	http://purl.obolibrary.org/obo/GECKO_0000120	information_entity	personality	http://purl.obolibrary.org/obo/GECKO_0000120	Knocean	2020-12-10 07:52:39
IHCC Simple String	http://purl.obolibrary.org/obo/GECKO_0000120	information_entity	personality measurement	http://purl.obolibrary.org/obo/GECKO_0000120	Knocean	2020-12-10 07:52:39
IHCC Simple String	http://purl.obolibrary.org/obo/OBI_0002118	information_entity	WES	http://purl.obolibrary.org/obo/OBI_0002118	Knocean	2020-12-10 07:52:39
IHCC Simple String	http://purl.obolibrary.org/obo/OBI_0002118	information_entity	exome sequencing assay	http://purl.obolibrary.org/obo/OBI_0002118	Knocean	2020-12-10 07:52:39
IHCC Simple String	http://purl.obolibrary.org/obo/OBI_0000537	information_entity	Sequence variants (CNV, SNP arrays)	http://purl.obolibrary.org/obo/OBI_0000537	Knocean	2020-12-10 07:52:39
IHCC Simple String	http://purl.obolibrary.org/obo/OBI_0000537	information_entity	Sequence variants CNV SNP arrays 	http://purl.obolibrary.org/obo/OBI_0000537	Knocean	2020-12-10 07:52:39
IHCC Simple String	http://purl.obolibrary.org/obo/OBI_0000537	information_entity	copy number variation profiling assay	http://purl.obolibrary.org/obo/OBI_0000537	Knocean	2020-12-10 07:52:39
IHCC Simple String	http://purl.obolibrary.org/obo/GECKO_0000010	information_entity	sex(es) studied in cohort	http://purl.obolibrary.org/obo/GECKO_0000010	Knocean	2020-12-10 07:52:39
IHCC Simple String	http://purl.obolibrary.org/obo/GECKO_0000010	information_entity	sex es studied in cohort	http://purl.obolibrary.org/obo/GECKO_0000010	Knocean	2020-12-10 07:52:39
IHCC Simple String	http://purl.obolibrary.org/obo/GECKO_0000010	information_entity	population sex or sexes	http://purl.obolibrary.org/obo/GECKO_0000010	Knocean	2020-12-10 07:52:39
IHCC Simple String	http://purl.obolibrary.org/obo/EUPATH_0000374	information_entity	marital status	http://purl.obolibrary.org/obo/EUPATH_0000374	Knocean	2020-12-10 07:52:39
IHCC Simple String	http://purl.obolibrary.org/obo/MONDO_0000001	information_entity	medical condition	http://purl.obolibrary.org/obo/MONDO_0000001	Knocean	2020-12-10 07:52:39
IHCC Simple String	http://purl.obolibrary.org/obo/MONDO_0000001	information_entity	disease or disorder, non-neoplastic	http://purl.obolibrary.org/obo/MONDO_0000001	Knocean	2020-12-10 07:52:39
